role,description,required_skills
"Philosophy and Religion Teachers, Postsecondary","Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Active Learning, Active Listening, Blackboard Learn, Collaborative editing software, Complex Problem Solving, Course management system software, Critical Thinking, DOC Cop, Desire2Learn LMS software, Email software, Gateway to Logic, Google Docs, Image scanning software, Instructing, InteLext Past Masters, Learning Strategies, Learning management system LMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Moodle, Philosopher's Information Center The Philosopher's Index, Reading Comprehension, Sakai CLE, Speaking, University of California Thesaurus Linguae Graecae TLG, Web browser software, Writing, iParadigms Turnitin"
"Family and Consumer Sciences Teachers, Postsecondary","Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Active Learning, Active Listening, Blackboard Learn, Collaborative editing software, Course management system software, Critical Thinking, DOC Cop, Database management systems, Desire2Learn LMS software, Email software, Google Docs, Image scanning software, Instructing, Learning Strategies, Learning management system LMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Reading Comprehension, Sakai CLE, Social computing tools, Speaking, Web browser software, Writing, Zoom, iParadigms Turnitin"
"Recreation and Fitness Studies Teachers, Postsecondary","Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Active Listening, Blackboard Learn, Collaborative editing software, Complex Problem Solving, Course management system software, Critical Thinking, DOC Cop, Dartfish ProSuite, Desire2Learn LMS software, Email software, Facebook, Google Docs, Image scanning software, Instructing, Judgment and Decision Making, Learning Strategies, Learning management system LMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Monitoring, Prolog, Reading Comprehension, Sakai CLE, Softworks Global PESoftOne, Speaking, Student record software, Time Management, Web browser software, Writing, iParadigms Turnitin"
"Career/Technical Education Teachers, Postsecondary","Teach vocational courses intended to provide occupational training below the baccalaureate level in subjects such as construction, mechanics/repair, manufacturing, transportation, or cosmetology, primarily to students who have graduated from or left high school. Teaching takes place in public or private schools whose primary business is academic or vocational education.","Active Learning, Active Listening, Blackboard Learn, Blackboard software, Career management systems CMS, Collaborative editing software, Common Curriculum, Course management system software, Critical Thinking, DOC Cop, Desire2Learn LMS software, Edmodo, Email software, Google Classroom, Google Docs, GroupMe, Image scanning software, Instructing, Learning Strategies, Learning management system LMS, Medical condition coding software, Medical procedure coding software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Moodle, Reading Comprehension, Sakai CLE, Speaking, Writing, iParadigms Turnitin"
"Postsecondary Teachers, All Other",All postsecondary teachers not listed separately.,
"Preschool Teachers, Except Special Education","Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth.","Active Listening, Appletree, Bloomz, Children's educational software, ClassDojo, Common Curriculum, Coordination, Critical Thinking, EasyCBM, Edmodo, Email software, Flipgrid, Google Classroom, Google Meet, Instructing, Intrado SchoolMessenger, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Word, Monitoring, Nearpod, Padlet, Reading Comprehension, Schoology, Seesaw, Service Orientation, Social Perceptiveness, Speaking, Tadpoles"
"Kindergarten Teachers, Except Special Education",Teach academic and social skills to kindergarten students.,"Active Listening, Bloomz, Children's educational software, Coordination, Instructing, Judgment and Decision Making, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Padlet, Reading Comprehension, Seesaw, Service Orientation, Social Perceptiveness, Speaking, Time Management"
"Elementary School Teachers, Except Special Education",Teach academic and social skills to students at the elementary school level.,"Active Learning, Active Listening, Blackboard software, Children's educational software, ClassDojo, ClassTag, Common Curriculum, Coordination, Critical Thinking, EasyCBM, Edpuzzle, Email software, Flipgrid, Google Classroom, Google Docs, Google Drive, Google Meet, Graphics software, Instructing, JamBoard, Judgment and Decision Making, Kahoot!, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Monitoring, Nearpod, Padlet, Pear Deck, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Time Management, Writing"
"Middle School Teachers, Except Special and Career/Technical Education","Teach one or more subjects to students at the middle, intermediate, or junior high school level.","Active Learning, Active Listening, Apple Final Cut Pro, Apple macOS, Appletree, Blackboard software, Children's educational software, ClassTag, Common Curriculum, Complex Problem Solving, Coordination, Critical Thinking, Desmos, Edmodo, Email software, Facebook, Flipgrid, Google Classroom, Google Docs, Google Drive, Google Meet, Instructing, JamBoard, Judgment and Decision Making, Kahoot!, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Monitoring, Reading Comprehension, Social Perceptiveness, Speaking, Time Management, Writing, Zoom"
"Career/Technical Education Teachers, Middle School","Teach occupational, vocational, career, or technical subjects to students at the middle, intermediate, or junior high school level.","Active Learning, Active Listening, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Web Services AWS CloudFormation, Amazon Web Services AWS software, Ansible software, Apache Cassandra, Apache Hadoop, Apache Kafka, Apache Tomcat, Atlassian Confluence, Atlassian JIRA, Bash, C#, C++, Critical Thinking, Docker, Eclipse IDE, Elasticsearch, Extensible markup language XML, Git, GitHub, Go, Google Angular, Google Docs, Hypertext markup language HTML, Instructing, JavaScript, Learning Strategies, Monitoring, Reading Comprehension, Social Perceptiveness, Speaking, Writing"
"Secondary School Teachers, Except Special and Career/Technical Education",Teach one or more subjects to students at the secondary school level.,"ABC programming language, Active Learning, Active Listening, Blackboard software, Common Curriculum, Coordination, Critical Thinking, Desmos, Email software, Flipgrid, Geogebra, Google Classroom, Google Drive, Google Meet, Instructing, Instructional software, Judgment and Decision Making, Learning Strategies, Logo design software, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Monitoring, Moodle, Nearpod, PowerSchool SIS, Reading Comprehension, Schoology, Screencastify, Social Perceptiveness, Speaking, Video editing software, Web browser software, Writing"
"Career/Technical Education Teachers, Secondary School","Teach occupational, vocational, career, or technical subjects to students at the secondary school level.","Active Learning, Active Listening, Autodesk AutoCAD Civil 3D, Blackboard Learn, Collaborative editing software, Complex Problem Solving, Coordination, Course management system software, Critical Thinking, DOC Cop, Desire2Learn LMS software, Edmodo, Edpuzzle, Email software, Google Docs, Image scanning software, Instructing, Judgment and Decision Making, Kahoot!, Learning Strategies, Learning management system LMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Padlet, Reading Comprehension, Sakai CLE, Service Orientation, Social Perceptiveness, Speaking, Time Management, Web browser software, Writing, iParadigms Turnitin"
"Special Education Teachers, Preschool","Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","Active Learning, Active Listening, American Sign Language Browser, Children's educational software, Critical Thinking, Drawing software, Email software, Instructing, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Reading Comprehension, Screen magnification software, Screen reader software, Service Orientation, Social Perceptiveness, Speaking, Web browser software, Writing"
"Special Education Teachers, Kindergarten","Teach academic, social, and life skills to kindergarten students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","American Sign Language Browser, Children's educational software, Drawing software, EasyCBM, Email software, Individualized Educational Program IEP software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Nuance Dragon NaturallySpeaking, Rethink Ed, Scientific Learning Fast ForWord, Screen magnification software, Screen reader software, Synapse outSPOKEN, The vOICe Learning Edition, Voice activated software, Web browser software, goQ WordQ"
"Special Education Teachers, Elementary School","Teach academic, social, and life skills to elementary school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","Active Learning, Active Listening, American Sign Language Browser, Children's educational software, Complex Problem Solving, Critical Thinking, Drawing software, EasyCBM, Email software, Individualized Educational Program IEP software, Instructing, Judgment and Decision Making, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Nuance Dragon NaturallySpeaking, Reading Comprehension, Rethink Ed, Scientific Learning Fast ForWord, Screen magnification software, Screen reader software, Service Orientation, Social Perceptiveness, Speaking, Synapse outSPOKEN, The vOICe Learning Edition, Voice activated software, Web browser software, Writing, goQ WordQ"
"Special Education Teachers, Middle School","Teach academic, social, and life skills to middle school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","Active Learning, Active Listening, Apple macOS, Blackboard software, Common Curriculum, Complex Problem Solving, Coordination, Critical Thinking, EasyCBM, Email software, Flipgrid, Google Classroom, Hand held spell checkers, Instructing, Judgment and Decision Making, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Monitoring, Padlet, Pear Deck, Reading Comprehension, Schoology, Screen magnification software, Screen reader software, Seesaw, Service Orientation, Social Perceptiveness, Speaking, Text to speech software, Time Management, Video editing software, Voice activated software, Web browser software, Writing"
"Special Education Teachers, Secondary School","Teach academic, social, and life skills to secondary school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","Active Listening, Adobe Acrobat, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Complex Problem Solving, Coordination, Critical Thinking, Email software, Facebook, Hand held spell checkers, Instructing, Judgment and Decision Making, Learning Strategies, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Monitoring, Reading Comprehension, Screen magnification software, Screen reader software, Service Orientation, Social Perceptiveness, Speaking, Text to speech software, Time Management, Video editing software, Voice activated software, Web browser software, Writing"
"Special Education Teachers, All Other",All special education teachers not listed separately.,
Adapted Physical Education Specialists,"Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.","Active Learning, Active Listening, Coordination, Critical Thinking, Database software, Email software, Facebook, Individualized Educational Program IEP software, Instructing, Judgment and Decision Making, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Student record software, Web browser software, Writing"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.","Active Learning, Active Listening, Adobe Photoshop, Blackboard software, Computerized testing software, Critical Thinking, Edmodo, Edpuzzle, Educational software, Facebook, Google Classroom, Google Workspace software, Instructing, Kahoot!, Learning Strategies, Learning management system LMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Publisher, Microsoft Word, Monitoring, Quizlet, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Web browser software, Writing, Zoom"
Self-Enrichment Teachers,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness.","Adobe Acrobat, Adobe Dreamweaver, Adobe Photoshop, Blackboard software, Corel Paint Shop Pro, Educational software, Email software, Google Classroom, Hypertext markup language HTML, Microsoft Access, Microsoft Excel, Microsoft Internet Explorer, Microsoft Office software, Microsoft PowerPoint, Microsoft Windows Movie Maker, Microsoft Word, Nearpod, Schoology, Speaking, Video editing software, Web browser software, YouTube"
"Substitute Teachers, Short-Term","Teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan.","Active Listening, Common Curriculum, EasyCBM, Edmodo, Flipgrid, Google Classroom, Google Meet, Instructure Canvas, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Moodle, Nearpod, Reading Comprehension, Schoology, Seesaw, Social Perceptiveness, Speaking"
Tutors,Instruct individual students or small groups of students in academic subjects to support formal class instruction or to prepare students for standardized or admissions tests.,"Academic educational software, Active Learning, Active Listening, Appointment scheduling software, Blackboard software, Complex Problem Solving, Critical Thinking, Database software, Desmos, Edpuzzle, Email software, Facebook, Flipgrid, Google Classroom, Google Drive, Google Meet, Instructing, Learning Strategies, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Monitoring, Moodle, Nearpod, Reading Comprehension, Redrock Software TutorTrac, Schoology, Screencastify, Seesaw, Social Perceptiveness, Speaking, Web browser software, Writing, Zoom"
"Teachers and Instructors, All Other",All teachers and instructors not listed separately.,
Archivists,"Appraise, edit, and direct safekeeping of permanent records and historically valuable documents. Participate in research activities based on archival materials.","Active Listening, Adlib Information Systems Adlib Archive, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, Apple Final Cut Pro, Archivists' Toolkit, Archon, Corel Paint Shop Pro, Database software, DiMeMa CONTENTdm, Dynamic hypertext markup language DHTML, Encoded archival system EAD, Esri ArcGIS, Extensible markup language XML, FileMaker Pro, Hypertext markup language HTML, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Reading Comprehension, Speaking, Writing"
Curators,"Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of institution.","Active Learning, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe FreeHand MX, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Apple macOS, Artsystems Collections, Autodesk AutoCAD, Complex Problem Solving, Corel WordPerfect Office Suite, Critical Thinking, Cuadra Associates STAR/Museums, Extensible markup language XML, Facebook, Judgment and Decision Making, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Visual Studio, Microsoft Word, Perl, Python, R, Reading Comprehension, SAS, Speaking, Writing"
Museum Technicians and Conservators,"Restore, maintain, or prepare objects in museum collections for storage, research, or exhibit. May work with specimens such as fossils, skeletal parts, or botanicals; or artifacts, textiles, or art. May identify and record objects or install and arrange them in exhibits. Includes book or document conservators.","Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Autodesk AutoCAD, Gallery Systems EmbARK, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Visual FoxPro, Microsoft Word, PastPerfect Software PastPerfect, Questor Systems ARGUS, Questor Systems QScan32, Reading Comprehension, Speaking"
Librarians and Media Collections Specialists,"Administer and maintain libraries or collections of information, for public or private access through reference or borrowing. Work in a variety of settings, such as educational institutions, museums, and corporations, and with various types of informational materials, such as books, periodicals, recordings, films, and databases. Tasks may include acquiring, cataloging, and circulating library materials, and user services such as locating and organizing information, providing instruction on how to access information, and setting up and operating a library's media equipment.","Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Autodesk AutoCAD, Cascading style sheets CSS, Critical Thinking, Extensible markup language XML, Facebook, Google Workspace software, Hypertext markup language HTML, JavaScript, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Visio, Microsoft Windows, Microsoft Word, Oracle Java, PHP, Reading Comprehension, Speaking, Structured query language SQL, Writing"
Library Technicians,"Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference. Compile records; sort and shelve books or other media; remove or repair damaged books or other media; register patrons; and check materials in and out of the circulation process. Replace materials in shelving area (stacks) or files. Includes bookmobile drivers who assist with providing services in mobile libraries.","Adobe Acrobat, Adobe Dreamweaver, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Database software, Dynix Digital Library, Email software, Ex Libris Group Aleph, Ex Libris Group Voyager, FileMaker Pro, HandyFile Find and Replace Text Aid Kit, Inmagic TextWorks, Innovative Interfaces Millennium, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Publisher, Microsoft Windows, Microsoft Word, National Library of Medicine DOCLINE, National Library of Medicine Medline, Online Computer Library Center (OCLC) databases"
Farm and Home Management Educators,"Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development.","Active Learning, Active Listening, Adobe Experience Manager (AEM), Complex Problem Solving, Coordination, Critical Thinking, ESRI ArcGIS software, Geographic information system GIS software, Image editing software, Instructing, Judgment and Decision Making, Kahoot!, Learning Strategies, Microsoft Dynamics, Microsoft Excel, Microsoft Internet Explorer, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Order management software, Persuasion, Reading Comprehension, SAP software, Service Orientation, ServiceNow, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Web browser software, Writing"
Instructional Coordinators,"Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and specialists, and instructional material directors.","Active Learning, Active Listening, Adobe Acrobat, Adobe ActionScript, Adobe After Effects, Adobe Captivate, Adobe Connect, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Cascading style sheets CSS, Complex Problem Solving, Coordination, Critical Thinking, Extensible markup language XML, Hypertext markup language HTML, Instructing, JavaScript, Judgment and Decision Making, Learning Strategies, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Monitoring, Oracle Java, Oracle PL/SQL, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Structured query language SQL, Time Management, Writing"
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education","Assist a preschool, elementary, middle, or secondary school teacher with instructional duties. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services.","Active Listening, Appletree, Automate the Schools ATS, Blackboard software, Children's educational software, ClassDojo, Coordination, Email software, Flipgrid, Google Classroom, Google Meet, Hand held spell checkers, High School Scheduling and Transcript HSST, Kahoot!, Loom, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Padlet, ParentSquare, Quizlet, Reading Comprehension, Schoology, Screen magnification software, Screen reader software, Seesaw, Service Orientation, Social Perceptiveness, Speaking"
"Teaching Assistants, Special Education","Assist a preschool, elementary, middle, or secondary school teacher to provide academic, social, or life skills to students who have learning, emotional, or physical disabilities. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services.","Active Listening, Appletree, Automate the Schools ATS, Blackboard software, Children's educational software, ClassDojo, Email software, Flipgrid, Google Classroom, Google Meet, Hand held spell checkers, High School Scheduling and Transcript HSST, Instructing, Kahoot!, Learning Strategies, Loom, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Padlet, ParentSquare, Quizlet, Reading Comprehension, Schoology, Screen magnification software, Screen reader software, Seesaw, Service Orientation, Social Perceptiveness, Speaking"
"Teaching Assistants, Postsecondary","Assist faculty or other instructional staff in postsecondary institutions by performing instructional support activities, such as developing teaching materials, leading discussion groups, preparing and giving examinations, and grading examinations or papers.","Active Listening, Adobe Photoshop, Blackboard Learn, Collaborative editing software, Course management system software, DOC Cop, Desire2Learn LMS software, Email software, Google Docs, IBM SPSS Statistics, Image scanning software, Instructing, Learning management system LMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Reading Comprehension, SAS, Sakai CLE, Speaking, Structured query language SQL, Web browser software, iParadigms Turnitin"
"Teaching Assistants, All Other",All teaching assistants not listed separately.,
"Educational Instruction and Library Workers, All Other",All educational instruction and library workers not listed separately.,
Art Directors,"Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design.","AJAX, Active Listening, Adobe Acrobat, Adobe ActionScript, Adobe After Effects, Adobe Creative Cloud software, Adobe Director, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Apple macOS, Atlassian Confluence, Atlassian JIRA, Cascading style sheets CSS, Complex Problem Solving, Coordination, Critical Thinking, Facebook, Figma, Hypertext markup language HTML, JavaScript, Judgment and Decision Making, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, PHP, Reading Comprehension, Speaking, Time Management, WordPress, jQuery"
Craft Artists,"Create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft.","DRAWSTITCH Artistic Sewing Suite, Electric Quilt Quilt Design Wizard, Email software, Embroidery design software, Facebook, Floriani MDQ My Decorative Quilter, John Hesselberth and Ron Roy GlazeMaster, Pattern design software, Sales management software, SmugMug Flickr, Twitter, Web browser software"
"Fine Artists, Including Painters, Sculptors, and Illustrators",Create original artwork using any of a wide variety of media and techniques.,"Adobe Acrobat, Adobe ActionScript, Adobe After Effects, Adobe Creative Cloud software, Adobe Dreamweaver, Adobe FrameMaker, Adobe FreeHand MX, Adobe Illustrator, Adobe ImageReady, Adobe InDesign, Adobe Photoshop, ArtScope.net eArtist, Autodesk AutoCAD, C#, C++, Extensible markup language XML, Facebook, Hypertext markup language HTML, Intuit QuickBooks, JavaScript, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Python, Trimble SketchUp Pro"
Special Effects Artists and Animators,"Create special effects or animations using film, video, computers, or other electronic tools and media for use in products, such as computer games, movies, music videos, and commercials.","AJAX, Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Apple macOS, Autodesk AutoCAD Civil 3D, C, C++, Canva, Cascading style sheets CSS, Critical Thinking, Extensible markup language XML, Figma, Hypertext markup language HTML, JavaScript, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Visio, Microsoft Windows, Microsoft Word, PHP, Reading Comprehension, jQuery"
"Artists and Related Workers, All Other",All artists and related workers not listed separately.,
Commercial and Industrial Designers,"Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.","Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Apache Maven, Apple iOS, Autodesk AutoCAD, Autodesk Revit, C, C#, C++, Cascading style sheets CSS, Complex Problem Solving, Critical Thinking, Dassault Systemes SolidWorks, ESRI ArcGIS software, Figma, Hypertext markup language HTML, JavaScript, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Project, Reading Comprehension, Speaking, jQuery"
Fashion Designers,Design clothing and accessories. Create original designs or adapt fashion trends.,"Active Learning, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Autodesk AutoCAD Design Suite, Autodesk Revit, Autodesk SketchBook Pro, C-DESIGN Fashion, CLO Virtual Fashion Marvelous Designer, Complex Problem Solving, Computer aided design and drafting software CADD, Coordination, Corel CorelDraw Graphics Suite, Corel Painter, Critical Thinking, Fashion Toolbox, Financial accounting software, Instructing, JavaScript, Judgment and Decision Making, Lectra Prima Vision Print Repeat, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Negotiation, Optitex 3D Suite, Persuasion, Reading Comprehension, SAS, Service Orientation, Social Perceptiveness, Speaking, Time Management, Trimble SketchUp Pro"
Floral Designers,"Design, cut, and arrange live, dried, or artificial flowers and foliage.","Active Listening, Facebook, Inventory tracking software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Speaking, Supply ordering software, Timekeeping software, Transaction accounting software, Web browser software"
Graphic Designers,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects.","AJAX, Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Apple macOS, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk Revit, Bentley MicroStation, Canva, Cascading style sheets CSS, Extensible markup language XML, Facebook, Figma, Google Docs, Hypertext markup language HTML, Intuit QuickBooks, JavaScript, Microsoft Access, Microsoft Excel, Microsoft Office software, jQuery"
Interior Designers,"Plan, design, and furnish the internal space of rooms or buildings. Design interior environments or create physical layouts that are practical, aesthetic, and conducive to the intended purposes. May specialize in a particular field, style, or phase of interior design.","20-20 Technologies 20-20 Design, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, AutoDesSys form Z, Autodesk 3ds Max, Autodesk Architectural Desktop, Autodesk AutoCAD, Autodesk Revit, Autodesk Revit Architecture, Autodesk VIZ, Chaos Enscape, Complex Problem Solving, Computer aided design and drafting software CADD, Coordination, Critical Thinking, Email software, Graphisoft ArchiCAD, IBM Notes, Judgment and Decision Making, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Trimble SketchUp Pro, Writing"
Merchandise Displayers and Window Trimmers,"Plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions.","Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Apple Safari, Apple iOS, Autodesk AutoCAD, Email software, Google Docs, Graphics software, IBM Lotus Notes, Inventory control systems, Microsoft Edge, Microsoft Excel, Microsoft Internet Explorer, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Mozilla Firefox, Netscape Navigator, SAS, SmugMug Flickr, Trimble SketchUp Pro, YouTube"
Set and Exhibit Designers,"Design special exhibits and sets for film, video, television, and theater productions. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles.","Act-3D Quest3D, Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Director, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, AutoDesSys form Z, Autodesk 3ds Max, Autodesk AutoCAD, Autodesk Maya, Autodesk Revit, Computer aided design and drafting CADD software, Coordination, Critical Thinking, Dassault Systemes SolidWorks, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Operations Analysis, Oracle Database, Reading Comprehension, Speaking, Structured query language SQL, Time Management, Trimble SketchUp Pro, UNIX"
"Designers, All Other",All designers not listed separately.,
