role,description,required_skills
Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.","Active Learning, Active Listening, Adexa Supply Chain Planning, Advanced business application programming ABAP, Aldata Warehouse Management, CDC Supply Chain, Complex Problem Solving, Coordination, Critical Thinking, Dex Warehouse, Epicor SRM, Epicor WMS, Graphics software, HighJump Software Supply Chain Advantage, HighJump Warehouse Advantage, Judgment and Decision Making, MEDITECH software, Management of Material Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Monitoring, Negotiation, Oracle PeopleSoft, Persuasion, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Structured query language SQL, Systems Analysis, Systems Evaluation, Time Management, Writing, i2 Collaborative Supply Execution"
Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.","!Trak-it Solutions !Trak-it HR, ADP Employease, ADP HR/Benefits Solution, ADP Workforce Now, Active Learning, Active Listening, AdRelevance, Adobe Dreamweaver, Adobe Illustrator, Adobe PageMaker, Adobe Photoshop, Apex Business Software iHR, Critical Thinking, Intuit QuickBooks, Judgment and Decision Making, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Oracle PeopleSoft, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Structured query language SQL, Time Management, Workday software, Writing"
Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.","AASoftTech Web Organization Chart, ADP Enterprise HR, ADP HR/Benefits Solution, ADP HR/Profile, ADP Pay eXpert, ADP Workforce Now, ADP ezLaborManager, AccountantsWorld Payroll Relief, Active Learning, Active Listening, AllNetic Working Time Tracker, Applicant tracking software, Complex Problem Solving, Coordination, Critical Thinking, Facebook, IBM SPSS Statistics, Instructing, Intuit QuickBooks, Judgment and Decision Making, Kronos Workforce Timekeeper, Learning Strategies, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, Monitoring, Negotiation, Oracle PeopleSoft, Persuasion, Reading Comprehension, SAP software, Service Orientation, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Time Management, Workday software, Writing"
Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.","Active Learning, Active Listening, Adobe Acrobat, Adobe ActionScript, Adobe Captivate, Adobe Dreamweaver, Adobe Illustrator, Adobe Photoshop, Adobe Presenter, AgileView Software SmartView, Alchemy Systems SISTEM, Apache Cassandra, Articulate Rapid E-Learning Studio, Beeline Learning Management System LMS, Blackbaud The Raiser's Edge, Blackboard software, Cisco Webex, Complex Problem Solving, Coordination, Critical Thinking, Epic Systems, Instructing, JavaScript, Judgment and Decision Making, Learning Strategies, Management of Financial Resources, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Visual Basic, Microsoft Word, Monitoring, Oracle PeopleSoft, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Time Management, Writing"
"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.","AGCO Advanced Technology Solutions Fieldstar, Accutech Systems Corporation AccuFarm-MGR, Active Listening, Adobe Photoshop, Advanced Veterinary Services Ranch Vision, Ag Connections Land.db, Ag Leader Technology SMS Advanced, AgData Blue Skies Accounting, AgTerra Technologies AgTrac, Agevo Farm Manager, AgriSoft/CMC AgriSoft/ERP, Alua Software Paddock Pro, AquaSoft Farm Manager, Argos Software ABECAS Insight, Atlassian Confluence, Brihzon Solutions SMART Dairy Resource Planning, Cattlesoft CattleMax, Complex Problem Solving, Coordination, Critical Thinking, Facebook, Judgment and Decision Making, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Visio, Microsoft Word, Reading Comprehension, SAP software, Speaking"
Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","3M Post-it App, AEC Software FastTrack Schedule, Active Learning, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, ArenaSoft Estimating, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk Revit, Axios Systems assyst, Bechtel Software SETROUTE, Complex Problem Solving, Coordination, Critical Thinking, Google Docs, Judgment and Decision Making, Management of Financial Resources, Management of Personnel Resources, Mathematics, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Monitoring, Negotiation, Oracle Primavera Enterprise Project Portfolio Management, Procore software, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Time Management, Trimble SketchUp Pro, Writing, Yardi software"
"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.","ACS Technologies HeadMaster, Active Learning, Active Listening, Auburn Software Debit Square, B&I Computer Consultants Childcare Sage, Bloomz, Cirrus Group Daycare Works, Complex Problem Solving, Coordination, Critical Thinking, Emerging Technologies Office Center, GroupMe, Instructing, Intuit QuickBooks, Jackrabbit Technologies Jackrabbit Care, Judgment and Decision Making, Kressa Software SchoolLeader, Learning Strategies, MAGGEY Child Care Management Software, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Publisher, Microsoft Word, Monitoring, Mount Taylor Programs Private Advantage, Negotiation, ONE Software KidsONE, OnCare Advantage, Orgmation iCare, ParentSquare, Personalized Software Childcare Manager, PraxiPower PraxiSchool, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Time Management, Writing, eChurch.com SchoolPerfect"
"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.","ACS Technologies HeadMaster, Active Learning, Active Listening, Apache Cassandra, Attendance tracking software, Blackbaud The Education Edge, Blackboard software, Bloomz, Common Curriculum, Complex Problem Solving, Computer Resources MMS, Coordination, Critical Thinking, Desmos, Edulastic, Effexoft EASI, Geogebra, Google Calendar, Google Classroom, IBM SPSS Statistics, Instructing, Judgment and Decision Making, Learning Strategies, Management of Financial Resources, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Monitoring, Negotiation, Persuasion, Reading Comprehension, SAS, Service Orientation, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, The MathWorks MATLAB, Time Management, Writing, eDistrict Internet Solutions eDistrict Unified"
"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.","Active Learning, Active Listening, Adobe Dreamweaver, Blackbaud The Raiser's Edge, Blackboard software, CollegeNET Schedule 25, Common Curriculum, Complex Problem Solving, Coordination, Critical Thinking, Database software, Ellucian Colleague, Ellucian Degree Works, Enterprise resource planning ERP system, Facebook, Google Docs, Hypertext markup language HTML, IBM SPSS Statistics, Instructing, Judgment and Decision Making, Learning Strategies, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Monitoring, Negotiation, Oracle PeopleSoft, Persuasion, Reading Comprehension, SAP software, SAS, Service Orientation, Social Perceptiveness, Speaking, Time Management, Writing"
"Education Administrators, All Other",All education administrators not listed separately.,
Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.","Active Learning, Active Listening, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Web Services AWS software, Ansible software, Apache Cassandra, Apache Hadoop, Apache Hive, Apache Kafka, Apache Maven, Apple macOS, Atlassian Confluence, Atlassian JIRA, Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk Revit, Bash, Bentley MicroStation, C, C#, C++, Chef, Complex Problem Solving, Coordination, Critical Thinking, Dassault Systemes SolidWorks, Django, Docker, Judgment and Decision Making, Mathematics, Monitoring, Reading Comprehension, Social Perceptiveness, Speaking, Time Management, Writing"
